sample	sample_kind	Ea	Pa	Pch	Pci	Pv	Pf	Sm	Ab	H77	H79	H82	H97	Fj	IN63	IN65	IN72	transfer	ident	Generation	total	present	coexistence	excluded	cont	Gen_jit
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p3_A1	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_Fj	Pair	0	0	0	0.49689441	0	0	0	0	0	0	0	0	0.50310559	0	0	0	0	p3_A5	0	161	"['Pci', 'Fj']"	TRUE	non	FALSE	0
Ea_IN72	Pair	0.78125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21875	0	p3_A7	0	32	"['Ea', 'IN72']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p3_A9	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
Sm_H82	Pair	0	0	0	0	0	0	0.741935484	0	0	0	0.258064516	0	0	0	0	0	0	p3_B2	0	62	"['Sm', 'H82']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p3_B4	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Sm_H79	Pair	0	0	0	0	0	0	0.829787234	0	0	0.170212766	0	0	0	0	0	0	0	p3_B6	0	94	"['Sm', 'H79']"	TRUE	non	FALSE	0
Pci_IN65	Pair	0	0	0	0.446428571	0	0	0	0	0	0	0	0	0	0	0.553571429	0	0	p3_B8	0	56	"['Pci', 'IN65']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p3_B10	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Pch_Ab	Pair	0	0	0.366666667	0	0	0	0	0.633333333	0	0	0	0	0	0	0	0	0	p3_C1	0	60	"['Pch', 'Ab']"	TRUE	non	FALSE	0
Ea_H79	Pair	0.78125	0	0	0	0	0	0	0	0	0.21875	0	0	0	0	0	0	0	p3_C3	0	32	"['Ea', 'H79']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p3_C5	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Pci_Pf	Pair	0	0	0	0.548387097	0	0.451612903	0	0	0	0	0	0	0	0	0	0	0	p3_C7	0	31	"['Pci', 'Pf']"	TRUE	non	FALSE	0
Pa_Pci	Pair	0	0.30952381	0	0.69047619	0	0	0	0	0	0	0	0	0	0	0	0	0	p3_C9	0	42	"['Pa', 'Pci']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p3_C11	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p3_D2	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pci_IN72	Pair	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0.2	0	p3_D4	0	45	"['Pci', 'IN72']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p3_D6	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
H82_H97	Pair	0	0	0	0	0	0	0	0	0	0	0.363636364	0.636363636	0	0	0	0	0	p3_D8	0	22	"['H82', 'H97']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p3_D10	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p3_D12	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pv_Sm	Pair	0	0	0	0	0.75	0	0.25	0	0	0	0	0	0	0	0	0	0	p3_E1	0	4	"['Pv', 'Sm']"	TRUE	non	FALSE	0
Pch_IN65	Pair	0	0	0.310344828	0	0	0	0	0	0	0	0	0	0	0	0.689655172	0	0	p3_E3	0	58	"['Pch', 'IN65']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p3_E5	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p3_E9	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p3_F2	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Sm_Ab	Pair	0	0	0	0	0	0	0.541666667	0.458333333	0	0	0	0	0	0	0	0	0	p3_F4	0	48	"['Sm', 'Ab']"	TRUE	non	FALSE	0
H79_Fj	Pair	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0.714285714	0	0	0	0	p3_F6	0	28	"['H79', 'Fj']"	TRUE	non	FALSE	0
Ab_H79	Pair	0	0	0	0	0	0	0	0.833333333	0	0.166666667	0	0	0	0	0	0	0	p3_F8	0	72	"['Ab', 'H79']"	TRUE	non	FALSE	0
IN65_IN72	Pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975609756	0.024390244	0	p3_F12	0	41	"['IN65', 'IN72']"	TRUE	non	FALSE	0
Pv_H77	Pair	0	0	0	0	0.24	0	0	0	0.76	0	0	0	0	0	0	0	0	p3_G3	0	25	"['Pv', 'H77']"	TRUE	non	FALSE	0
Ea_H97	Pair	0.56	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	p3_G7	0	50	"['Ea', 'H97']"	TRUE	non	FALSE	0
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p3_G9	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_H77	Pair	0	0	0	0.346938776	0	0	0	0	0.653061224	0	0	0	0	0	0	0	0	p3_G11	0	49	"['Pci', 'H77']"	TRUE	non	FALSE	0
Pch_H79	Pair	0	0	0.577777778	0	0	0	0	0	0	0.422222222	0	0	0	0	0	0	0	p3_H2	0	45	"['Pch', 'H79']"	TRUE	non	FALSE	0
H79_IN72	Pair	0	0	0	0	0	0	0	0	0	0.481481481	0	0	0	0	0	0.518518519	0	p3_H4	0	27	"['H79', 'IN72']"	TRUE	non	FALSE	0
H79_IN65	Pair	0	0	0	0	0	0	0	0	0	0.272727273	0	0	0	0	0.727272727	0	0	p3_H6	0	77	"['H79', 'IN65']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p3_H8	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
Pch_IN65	Pair	0	0	0.310344828	0	0	0	0	0	0	0	0	0	0	0	0.689655172	0	0	p3_H10	0	58	"['Pch', 'IN65']"	TRUE	non	FALSE	0
H79_Fj	Pair	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0.714285714	0	0	0	0	p3_H12	0	28	"['H79', 'Fj']"	TRUE	non	FALSE	0
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p4_A1	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_Fj	Pair	0	0	0	0.49689441	0	0	0	0	0	0	0	0	0.50310559	0	0	0	0	p4_A5	0	161	"['Pci', 'Fj']"	TRUE	non	FALSE	0
Ea_IN72	Pair	0.78125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21875	0	p4_A7	0	32	"['Ea', 'IN72']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p4_A9	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
IN65_IN72	Pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975609756	0.024390244	0	p4_A11	0	41	"['IN65', 'IN72']"	TRUE	non	FALSE	0
Sm_H82	Pair	0	0	0	0	0	0	0.741935484	0	0	0	0.258064516	0	0	0	0	0	0	p4_B2	0	62	"['Sm', 'H82']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p4_B4	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Sm_H79	Pair	0	0	0	0	0	0	0.829787234	0	0	0.170212766	0	0	0	0	0	0	0	p4_B6	0	94	"['Sm', 'H79']"	TRUE	non	FALSE	0
Pci_IN65	Pair	0	0	0	0.446428571	0	0	0	0	0	0	0	0	0	0	0.553571429	0	0	p4_B8	0	56	"['Pci', 'IN65']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p4_B10	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Pch_Ab	Pair	0	0	0.366666667	0	0	0	0	0.633333333	0	0	0	0	0	0	0	0	0	p4_C1	0	60	"['Pch', 'Ab']"	TRUE	non	FALSE	0
Ea_H79	Pair	0.78125	0	0	0	0	0	0	0	0	0.21875	0	0	0	0	0	0	0	p4_C3	0	32	"['Ea', 'H79']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p4_C5	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Pci_Pf	Pair	0	0	0	0.548387097	0	0.451612903	0	0	0	0	0	0	0	0	0	0	0	p4_C7	0	31	"['Pci', 'Pf']"	TRUE	non	FALSE	0
Pa_Pci	Pair	0	0.30952381	0	0.69047619	0	0	0	0	0	0	0	0	0	0	0	0	0	p4_C9	0	42	"['Pa', 'Pci']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p4_C11	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p4_D2	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pci_IN72	Pair	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0.2	0	p4_D4	0	45	"['Pci', 'IN72']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p4_D6	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
H82_H97	Pair	0	0	0	0	0	0	0	0	0	0	0.363636364	0.636363636	0	0	0	0	0	p4_D8	0	22	"['H82', 'H97']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p4_D10	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p4_D12	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pv_Sm	Pair	0	0	0	0	0.75	0	0.25	0	0	0	0	0	0	0	0	0	0	p4_E1	0	4	"['Pv', 'Sm']"	TRUE	non	FALSE	0
Pch_IN65	Pair	0	0	0.310344828	0	0	0	0	0	0	0	0	0	0	0	0.689655172	0	0	p4_E3	0	58	"['Pch', 'IN65']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p4_E5	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p4_E9	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p4_F2	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Sm_Ab	Pair	0	0	0	0	0	0	0.541666667	0.458333333	0	0	0	0	0	0	0	0	0	p4_F4	0	48	"['Sm', 'Ab']"	TRUE	non	FALSE	0
H79_Fj	Pair	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0.714285714	0	0	0	0	p4_F6	0	28	"['H79', 'Fj']"	TRUE	non	FALSE	0
Ab_H79	Pair	0	0	0	0	0	0	0	0.833333333	0	0.166666667	0	0	0	0	0	0	0	p4_F8	0	72	"['Ab', 'H79']"	TRUE	non	FALSE	0
IN65_IN72	Pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975609756	0.024390244	0	p4_F12	0	41	"['IN65', 'IN72']"	TRUE	non	FALSE	0
Pv_H77	Pair	0	0	0	0	0.24	0	0	0	0.76	0	0	0	0	0	0	0	0	p4_G3	0	25	"['Pv', 'H77']"	TRUE	non	FALSE	0
Ea_H97	Pair	0.56	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	p4_G7	0	50	"['Ea', 'H97']"	TRUE	non	FALSE	0
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p4_G9	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_H77	Pair	0	0	0	0.346938776	0	0	0	0	0.653061224	0	0	0	0	0	0	0	0	p4_G11	0	49	"['Pci', 'H77']"	TRUE	non	FALSE	0
Pch_H79	Pair	0	0	0.577777778	0	0	0	0	0	0	0.422222222	0	0	0	0	0	0	0	p4_H2	0	45	"['Pch', 'H79']"	TRUE	non	FALSE	0
H79_IN72	Pair	0	0	0	0	0	0	0	0	0	0.481481481	0	0	0	0	0	0.518518519	0	p4_H4	0	27	"['H79', 'IN72']"	TRUE	non	FALSE	0
H79_IN65	Pair	0	0	0	0	0	0	0	0	0	0.272727273	0	0	0	0	0.727272727	0	0	p4_H6	0	77	"['H79', 'IN65']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p4_H8	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
Pch_IN65	Pair	0	0	0.310344828	0	0	0	0	0	0	0	0	0	0	0	0.689655172	0	0	p4_H10	0	58	"['Pch', 'IN65']"	TRUE	non	FALSE	0
H79_Fj	Pair	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0.714285714	0	0	0	0	p4_H12	0	28	"['H79', 'Fj']"	TRUE	non	FALSE	0
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p5_A1	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_Fj	Pair	0	0	0	0.49689441	0	0	0	0	0	0	0	0	0.50310559	0	0	0	0	p5_A5	0	161	"['Pci', 'Fj']"	TRUE	non	FALSE	0
Ea_IN72	Pair	0.78125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21875	0	p5_A7	0	32	"['Ea', 'IN72']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p5_A9	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
Sm_H82	Pair	0	0	0	0	0	0	0.741935484	0	0	0	0.258064516	0	0	0	0	0	0	p5_B2	0	62	"['Sm', 'H82']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p5_B4	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Sm_H79	Pair	0	0	0	0	0	0	0.829787234	0	0	0.170212766	0	0	0	0	0	0	0	p5_B6	0	94	"['Sm', 'H79']"	TRUE	non	FALSE	0
Pci_IN65	Pair	0	0	0	0.446428571	0	0	0	0	0	0	0	0	0	0	0.553571429	0	0	p5_B8	0	56	"['Pci', 'IN65']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p5_B10	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Pch_Ab	Pair	0	0	0.366666667	0	0	0	0	0.633333333	0	0	0	0	0	0	0	0	0	p5_C1	0	60	"['Pch', 'Ab']"	TRUE	non	FALSE	0
Ea_H79	Pair	0.78125	0	0	0	0	0	0	0	0	0.21875	0	0	0	0	0	0	0	p5_C3	0	32	"['Ea', 'H79']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p5_C5	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Pci_Pf	Pair	0	0	0	0.548387097	0	0.451612903	0	0	0	0	0	0	0	0	0	0	0	p5_C7	0	31	"['Pci', 'Pf']"	TRUE	non	FALSE	0
Pa_Pci	Pair	0	0.30952381	0	0.69047619	0	0	0	0	0	0	0	0	0	0	0	0	0	p5_C9	0	42	"['Pa', 'Pci']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p5_C11	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p5_D2	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pci_IN72	Pair	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0.2	0	p5_D4	0	45	"['Pci', 'IN72']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p5_D6	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
H82_H97	Pair	0	0	0	0	0	0	0	0	0	0	0.363636364	0.636363636	0	0	0	0	0	p5_D8	0	22	"['H82', 'H97']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p5_D10	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p5_D12	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pv_Sm	Pair	0	0	0	0	0.75	0	0.25	0	0	0	0	0	0	0	0	0	0	p5_E1	0	4	"['Pv', 'Sm']"	TRUE	non	FALSE	0
Pch_IN65	Pair	0	0	0.310344828	0	0	0	0	0	0	0	0	0	0	0	0.689655172	0	0	p5_E3	0	58	"['Pch', 'IN65']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p5_E5	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p5_E9	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p5_F2	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Sm_Ab	Pair	0	0	0	0	0	0	0.541666667	0.458333333	0	0	0	0	0	0	0	0	0	p5_F4	0	48	"['Sm', 'Ab']"	TRUE	non	FALSE	0
H79_Fj	Pair	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0.714285714	0	0	0	0	p5_F6	0	28	"['H79', 'Fj']"	TRUE	non	FALSE	0
Ab_H79	Pair	0	0	0	0	0	0	0	0.833333333	0	0.166666667	0	0	0	0	0	0	0	p5_F8	0	72	"['Ab', 'H79']"	TRUE	non	FALSE	0
Ea_H97	Pair	0.56	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	p5_G7	0	50	"['Ea', 'H97']"	TRUE	non	FALSE	0
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p5_G9	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_H77	Pair	0	0	0	0.346938776	0	0	0	0	0.653061224	0	0	0	0	0	0	0	0	p5_G11	0	49	"['Pci', 'H77']"	TRUE	non	FALSE	0
Pch_H79	Pair	0	0	0.577777778	0	0	0	0	0	0	0.422222222	0	0	0	0	0	0	0	p5_H2	0	45	"['Pch', 'H79']"	TRUE	non	FALSE	0
H79_IN72	Pair	0	0	0	0	0	0	0	0	0	0.481481481	0	0	0	0	0	0.518518519	0	p5_H4	0	27	"['H79', 'IN72']"	TRUE	non	FALSE	0
H79_IN65	Pair	0	0	0	0	0	0	0	0	0	0.272727273	0	0	0	0	0.727272727	0	0	p5_H6	0	77	"['H79', 'IN65']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p5_H8	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
Pch_IN65	Pair	0	0	0.310344828	0	0	0	0	0	0	0	0	0	0	0	0.689655172	0	0	p5_H10	0	58	"['Pch', 'IN65']"	TRUE	non	FALSE	0
H79_Fj	Pair	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0.714285714	0	0	0	0	p5_H12	0	28	"['H79', 'Fj']"	TRUE	non	FALSE	0
Ea_Pa	Pair	0.535714286	0.464285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_A1	0	28	"['Ea', 'Pa']"	TRUE	non	FALSE	0
Ea_Pv	Pair	0.142857143	0	0	0	0.857142857	0	0	0	0	0	0	0	0	0	0	0	0	p6_A3	0	7	"['Ea', 'Pv']"	TRUE	non	FALSE	0
Pa_Pv	Pair	0	0.0625	0	0	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	p6_A5	0	16	"['Pa', 'Pv']"	TRUE	non	FALSE	0
Pch_Pf	Pair	0	0	0.466666667	0	0	0.533333333	0	0	0	0	0	0	0	0	0	0	0	p6_A7	0	45	"['Pch', 'Pf']"	TRUE	non	FALSE	0
Pf_Sm	Pair	0	0	0	0	0	0.070175439	0.929824561	0	0	0	0	0	0	0	0	0	0	p6_A9	0	57	"['Pf', 'Sm']"	TRUE	non	FALSE	0
Ab_IN72	Pair	0	0	0	0	0	0	0	0.508474576	0	0	0	0	0	0	0	0.491525424	0	p6_A11	0	59	"['Ab', 'IN72']"	TRUE	non	FALSE	0
Ea_Pch	Pair	0.409836066	0	0.590163934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_B2	0	61	"['Ea', 'Pch']"	TRUE	non	FALSE	0
Ea_Pf	Pair	0.558823529	0	0	0	0	0.441176471	0	0	0	0	0	0	0	0	0	0	0	p6_B4	0	34	"['Ea', 'Pf']"	TRUE	non	FALSE	0
Pch_Pci	Pair	0	0	0.526315789	0.473684211	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_B6	0	76	"['Pch', 'Pci']"	TRUE	non	FALSE	0
Pch_IN63	Pair	0	0	0.474576271	0	0	0	0	0	0	0	0	0	0	0.525423729	0	0	0	p6_B8	0	59	"['Pch', 'IN63']"	TRUE	non	FALSE	0
Pf_IN72	Pair	0	0	0	0	0	0.269230769	0	0	0	0	0	0	0	0	0	0.730769231	0	p6_B10	0	52	"['Pf', 'IN72']"	TRUE	non	FALSE	0
Pci_IN63	Pair	0	0	0	0.384615385	0	0	0	0	0	0	0	0	0	0.615384615	0	0	0	p6_B12	0	52	"['Pci', 'IN63']"	TRUE	non	FALSE	0
Ea_Pa	Pair	0.535714286	0.464285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_C1	0	28	"['Ea', 'Pa']"	TRUE	non	FALSE	0
Ea_Pv	Pair	0.142857143	0	0	0	0.857142857	0	0	0	0	0	0	0	0	0	0	0	0	p6_C3	0	7	"['Ea', 'Pv']"	TRUE	non	FALSE	0
Pa_Pv	Pair	0	0.0625	0	0	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	p6_C5	0	16	"['Pa', 'Pv']"	TRUE	non	FALSE	0
Pch_Pf	Pair	0	0	0.466666667	0	0	0.533333333	0	0	0	0	0	0	0	0	0	0	0	p6_C7	0	45	"['Pch', 'Pf']"	TRUE	non	FALSE	0
Pf_Sm	Pair	0	0	0	0	0	0.070175439	0.929824561	0	0	0	0	0	0	0	0	0	0	p6_C9	0	57	"['Pf', 'Sm']"	TRUE	non	FALSE	0
Ab_IN72	Pair	0	0	0	0	0	0	0	0.508474576	0	0	0	0	0	0	0	0.491525424	0	p6_C11	0	59	"['Ab', 'IN72']"	TRUE	non	FALSE	0
Ea_Pch	Pair	0.409836066	0	0.590163934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_D2	0	61	"['Ea', 'Pch']"	TRUE	non	FALSE	0
Ea_Pf	Pair	0.558823529	0	0	0	0	0.441176471	0	0	0	0	0	0	0	0	0	0	0	p6_D4	0	34	"['Ea', 'Pf']"	TRUE	non	FALSE	0
Pch_Pci	Pair	0	0	0.526315789	0.473684211	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_D6	0	76	"['Pch', 'Pci']"	TRUE	non	FALSE	0
Pch_IN63	Pair	0	0	0.474576271	0	0	0	0	0	0	0	0	0	0	0.525423729	0	0	0	p6_D8	0	59	"['Pch', 'IN63']"	TRUE	non	FALSE	0
Pf_IN72	Pair	0	0	0	0	0	0.269230769	0	0	0	0	0	0	0	0	0	0.730769231	0	p6_D10	0	52	"['Pf', 'IN72']"	TRUE	non	FALSE	0
Pci_IN63	Pair	0	0	0	0.384615385	0	0	0	0	0	0	0	0	0	0.615384615	0	0	0	p6_D12	0	52	"['Pci', 'IN63']"	TRUE	non	FALSE	0
Ea_Pa	Pair	0.535714286	0.464285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_E1	0	28	"['Ea', 'Pa']"	TRUE	non	FALSE	0
Ea_Pv	Pair	0.142857143	0	0	0	0.857142857	0	0	0	0	0	0	0	0	0	0	0	0	p6_E3	0	7	"['Ea', 'Pv']"	TRUE	non	FALSE	0
Pa_Pv	Pair	0	0.0625	0	0	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	p6_E5	0	16	"['Pa', 'Pv']"	TRUE	non	FALSE	0
Pch_Pf	Pair	0	0	0.466666667	0	0	0.533333333	0	0	0	0	0	0	0	0	0	0	0	p6_E7	0	45	"['Pch', 'Pf']"	TRUE	non	FALSE	0
Pf_Sm	Pair	0	0	0	0	0	0.070175439	0.929824561	0	0	0	0	0	0	0	0	0	0	p6_E9	0	57	"['Pf', 'Sm']"	TRUE	non	FALSE	0
Ab_IN72	Pair	0	0	0	0	0	0	0	0.508474576	0	0	0	0	0	0	0	0.491525424	0	p6_E11	0	59	"['Ab', 'IN72']"	TRUE	non	FALSE	0
Ea_Pch	Pair	0.409836066	0	0.590163934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_F2	0	61	"['Ea', 'Pch']"	TRUE	non	FALSE	0
Ea_Pf	Pair	0.558823529	0	0	0	0	0.441176471	0	0	0	0	0	0	0	0	0	0	0	p6_F4	0	34	"['Ea', 'Pf']"	TRUE	non	FALSE	0
Pch_Pci	Pair	0	0	0.526315789	0.473684211	0	0	0	0	0	0	0	0	0	0	0	0	0	p6_F6	0	76	"['Pch', 'Pci']"	TRUE	non	FALSE	0
Pch_IN63	Pair	0	0	0.474576271	0	0	0	0	0	0	0	0	0	0	0.525423729	0	0	0	p6_F8	0	59	"['Pch', 'IN63']"	TRUE	non	FALSE	0
